,latitude,longitude
P0,30.479,-84.629
P1,30.478,-84.629
P2,30.478,-84.63
P3,30.479,-84.63
P4,30.479,-84.628
P5,30.48,-84.628
P6,30.48,-84.627
P7,30.479,-84.627
P8,30.478,-84.628
P9,30.48,-84.629
P10,30.481,-84.63
P11,30.482,-84.63
P12,30.48,-84.63
P13,30.477,-84.629
P14,30.476,-84.629
P15,30.476,-84.63
P16,30.476,-84.631
P17,30.476,-84.632
P18,30.476,-84.633
P19,30.475,-84.633
P20,30.475,-84.632
P21,30.475,-84.631
P22,30.477,-84.63
P23,30.475,-84.63
P24,30.475,-84.629
P25,30.474,-84.629
P26,30.481,-84.627
P27,30.481,-84.626
P28,30.481,-84.628
P29,30.477,-84.628
P30,30.476,-84.628
P31,30.474,-84.633
P32,30.473,-84.633
P33,30.473,-84.632
P34,30.473,-84.631
P35,30.474,-84.631
P36,30.474,-84.63
P37,30.474,-84.634
P38,30.474,-84.632
P39,30.477,-84.632
P40,30.478,-84.632
P41,30.478,-84.631
P42,30.477,-84.631
P43,30.48,-84.626
P44,30.481,-84.629
P45,30.481,-84.632
P46,30.482,-84.634
P47,30.483,-84.636
P48,30.483,-84.638
P49,30.483,-84.639
P50,30.483,-84.64
P51,30.484,-84.639
P52,30.483,-84.637
P53,30.483,-84.635
P54,30.482,-84.633
P55,30.482,-84.632
P56,30.481,-84.631
P57,30.48,-84.631
P58,30.479,-84.631
P59,30.479,-84.632
P60,30.482,-84.628
P61,30.473,-84.63
P62,30.475,-84.634
P63,30.476,-84.634
P64,30.477,-84.634
P65,30.477,-84.633
P66,30.48,-84.632
P67,30.479,-84.633
P68,30.482,-84.626
P69,30.482,-84.627
P70,30.482,-84.631
P71,30.48,-84.633
P72,30.478,-84.633
P73,30.472,-84.631
P74,30.479,-84.634
P75,30.48,-84.634
P76,30.484,-84.637
P77,30.482,-84.641
P78,30.482,-84.642
P79,30.483,-84.642
P80,30.481,-84.642
P81,30.48,-84.642
P82,30.479,-84.642
P83,30.478,-84.642
P84,30.477,-84.642
P85,30.476,-84.641
P86,30.475,-84.641
P87,30.476,-84.642
P88,30.478,-84.641
P89,30.479,-84.641
P90,30.479,-84.64
P91,30.477,-84.643
P92,30.478,-84.643
P93,30.479,-84.643
P94,30.483,-84.641
P95,30.484,-84.64
P96,30.484,-84.638
P97,30.482,-84.638
P98,30.481,-84.639
P99,30.481,-84.641
P100,30.48,-84.643
P101,30.479,-84.639
P102,30.48,-84.639
P103,30.481,-84.638
P104,30.481,-84.637
P105,30.481,-84.636
P106,30.485,-84.638
P107,30.482,-84.639
P108,30.482,-84.637
P109,30.481,-84.635
P110,30.478,-84.635
P111,30.478,-84.637
P112,30.478,-84.639
P113,30.477,-84.644
P114,30.48,-84.64
P115,30.48,-84.638
P116,30.481,-84.634
P117,30.483,-84.631
P118,30.483,-84.632
P119,30.481,-84.625
P120,30.483,-84.633
P121,30.478,-84.627
P122,30.482,-84.629
P123,30.482,-84.625
P124,30.479,-84.626
P125,30.483,-84.63
P126,30.48,-84.625
P127,30.477,-84.627
P128,30.481,-84.633
P129,30.483,-84.634
P130,30.48,-84.635
P131,30.482,-84.635
P132,30.48,-84.636
P133,30.484,-84.633
P134,30.484,-84.634
P135,30.479,-84.636
P136,30.484,-84.636
P137,30.482,-84.636
P138,30.484,-84.635
P139,30.485,-84.633
P140,30.485,-84.632
P141,30.48,-84.637
P142,30.482,-84.643
P143,30.481,-84.643
P144,30.481,-84.64
P145,30.485,-84.637
P146,30.485,-84.636
P147,30.485,-84.635
P148,30.485,-84.634
P149,30.479,-84.637
P150,30.479,-84.638
P151,30.479,-84.635
P152,30.484,-84.632
P153,30.478,-84.634
P154,30.485,-84.639
P155,30.478,-84.636
P156,30.478,-84.638
P157,30.477,-84.638
P158,30.476,-84.638
P159,30.477,-84.639
P160,30.478,-84.64
P161,30.477,-84.64
P162,30.476,-84.64
P163,30.476,-84.639
P164,30.472,-84.632
P165,30.473,-84.634
P166,30.475,-84.639
P167,30.474,-84.639
P168,30.473,-84.639
P169,30.474,-84.64
P170,30.473,-84.64
P171,30.474,-84.638
P172,30.477,-84.641
P173,30.475,-84.64
P174,30.473,-84.638
P175,30.472,-84.639
P176,30.472,-84.64
P177,30.473,-84.641
P178,30.474,-84.641
P179,30.474,-84.642
P180,30.475,-84.642
P181,30.475,-84.638
P182,30.475,-84.643
P183,30.474,-84.643
P184,30.473,-84.643
P185,30.473,-84.642
P186,30.472,-84.641
P187,30.476,-84.644
P188,30.472,-84.638
P189,30.476,-84.643
P190,30.475,-84.644
P191,30.474,-84.644
P192,30.473,-84.644
P193,30.472,-84.643
P194,30.472,-84.642
P195,30.478,-84.644
P196,30.48,-84.641
P197,30.483,-84.643
P198,30.484,-84.643
P199,30.485,-84.643
P200,30.485,-84.642
P201,30.485,-84.641
P202,30.485,-84.64
P203,30.472,-84.633
P204,30.477,-84.636
P205,30.484,-84.63
P206,30.486,-84.634
P208,30.482,-84.64
P209,30.483,-84.626
P210,30.478,-84.625
P211,30.472,-84.634
P212,30.484,-84.642
P213,30.484,-84.641
P214,30.477,-84.635
P215,30.471,-84.64
P216,30.473,-84.635
P217,30.471,-84.633
P218,30.484,-84.631
P219,30.478,-84.626
P220,30.483,-84.628
P221,30.482,-84.624
